"T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50"
0.68872799,-0.21271986,0.49878314,0.83652705,0.75306636,-0.21266677,0.94272398,-0.45236655,-0.077101113,0.43170110768,0.3457091475,0.61212338,0.078036685,0.061662934,-0.080118258,0.2063136,0.28674871,0.43485665092,0.018280111,-0.11692446,0.070971756,-0.02683799119,0.17430285,-0.031217667,0.56682591,0.37312285,0.18885849,0.54093523,0.28939821,0.01358741031,0.25505202,0.48804886,0.00081514,0.58674317,0.31673263,0.33550569,0.26674403543,0.20877419,0.59372591,0.53156379,0.17959297,0.69476793,0.61776188,-0.040675688,0.067807538,0.03274521,0.70167895,0.27281525,0.24299623,0.044601598
0.1407009612,0.11024161,-0.2191136,-0.007928352,-0.12689456,0.31242765,0.20547853,0.22885758,0.26779830722,0.15240695,-0.12460214,-0.13493625,0.30998100254,-0.62149747318,-0.52622106,0.003796295,0.10436226,0.24982329,0.21662027,0.056262973,0.2167305104,-0.052894038,-0.022955577,-0.33735673,0.69850146,-0.16172785,-0.4416534,0.55855813,-0.20626967,-0.17761165,0.19263172,-0.40165021,-0.56742759,-0.20087817,-0.14621110201,-0.0895180366,-0.30416669,-0.13509978,-0.030054078,-0.029398534,-0.23180423,0.04614192348,-0.48394454,-0.056102863,-0.32414035,-0.15242041,-0.25923502,-0.15204121,-0.48716497,-0.60096978
-0.738929,-0.10991489,-0.58472624,0.18490087,-0.12480371,-0.18222293,0.10692049,-0.2805288,0.01362493984,-0.3794978,-0.44069052,-0.34638895,0.52041046,-0.24578585,-0.10167284,-0.23597559959,-0.19426339133,0.006526913,-0.16957632,-0.35580026,-0.085849178,-0.11787391,-0.28446219,-0.2377184075,-0.28453202062,-0.20225863868,-0.28518193,-0.46442892,-0.43475276,-0.19389945215,0.099289612,-0.081123535,0.053816488,-0.15415448,-0.17762766645,-0.046419505,-0.10216407031,-0.23826469,-0.5875471,-0.62485687152,-0.27894356,-0.17849175,-0.10923099,-0.1952676711,-0.27622383,-0.32263673365,-0.22256719,-0.20715368987,-0.18041769,-0.34482057679
0.24557518,-0.073990916,-0.31721252,-0.23823722,-0.23435477,-0.45512695,-0.32687847,-0.49366212,-0.12309965,-0.38094014,-0.27602489,-0.004638468,-0.52395786,0.07451191329,-0.27830786,-0.17367326,-0.076217561,-0.18779129,-0.28202624,-0.27281809,-0.1890666,0.065953019,-0.17055577,-0.096962735,-0.27379779,0.047630376,-0.24847806,-0.21381659,-0.14939595702,-0.08221167182,0.10682236,0.04766631696,0.28587193,0.1744863,0.065479346,-0.098165724,0.18073057,-0.14503927,0.062677629,-0.11973268,0.3537737,0.28563865,0.23387555,0.088700241,-0.025839374,-0.32253172,0.433586,0.32360302,0.36087717,0.23696101
0.23951043,0.05745198797,0.28336535,0.047754631,0.23580075,-0.04433660195,0.33680483507,-0.21609476,-0.24716648,0.16705623,0.1303969,0.084706234,0.42469838,0.063089378,-0.17006467,0.30568744,0.54207071726,0.4113789881,0.008065366,0.17113974,0.27411772,-0.080849951,0.12983888,0.14993889773,0.65048651,0.58933816,-0.007473468,0.58561826,0.48452061,-0.12633475,0.42057146004,0.37200074,0.1340986965,0.43780092,0.28965741,0.28465984192,0.24477986813,0.20236942,0.45452344,0.31763584723,0.23778441,0.43955666,-0.006479312,0.000211718739999994,0.10788849959,0.063089636,0.5657360381,0.32164422,0.19931604,-0.023753412
-0.86997148,0.39992987,-0.36604202,-0.35463559145,-0.38621673904,-0.15492574,-0.12029983174,-0.33033146404,0.059303789,-0.47108658,-0.47494078157,0.03928426205,-0.1540592,-0.049149941,-0.10788524,0.47465761,0.33608912,0.19840092,-0.084398925,0.15635998,0.25788130618,0.076563678,0.36388761,0.17303802,0.64961247,0.2252583611,0.12276767,-0.14285625,-0.34131876,-0.10459094,0.26167566534,0.33337995,0.12531036,-0.009538393,0.13095864,0.16049068447,0.3926779,-0.24910224,0.25221745805,0.21635998,0.57565436,0.040566908,-0.24814881,0.10113373,0.46809642,0.17667389,0.23840227,0.33494315,0.35951844,0.21188985886
0.57201663,0.34011297,0.029873485,0.57812567,0.19795505,0.14275925,0.9199043,0.036151867,0.48620934,0.39149347,0.13136812,0.5040968,0.13040739,0.064844156,0.11777006,0.26409059,0.76187541859,0.3366122,0.27100959,0.18601571,0.36360775,0.46931611,1.3881915,0.20142825862,0.88376142,0.42931665,-0.096681738,1.2953431,0.7429124,-0.041955949,0.85932074,0.34714216,0.24154840691,0.60523128,0.28034869,0.35320804,0.41706002,1.0764131,0.26695072,0.059226319,0.052257558,0.6781216347,0.14450111,0.10331139245,-0.008045315,0.2359352,0.43267698,0.13704069,0.28036288742,-0.39700769
-0.26884016,-0.00448593039,-0.39509017,-0.24631799857,-0.24351663081,0.097813168,0.023466485,0.070807089,0.58312775,-0.17325992598,-0.66366925,-0.16827415,0.14805862288,-0.04379139708,-0.049168134,0.25988381,0.68835647,0.39469522,0.055340352,0.084996422,0.19021139,-0.006745909,0.18515545,0.043626523,0.69795962,0.5272574,0.098375852,0.76264205,-0.66382849,-0.046467023,0.35671789,0.22163798,0.15037893162,0.55326775,0.41564284,0.33842963272,0.2198574,0.35074429,0.59568015,0.3266669,0.16746992,0.72863278,0.31419285,-0.14525466,0.007313027,0.065286231,0.69573827931,0.22287789,0.26280097,-0.13059945
0.53459618419,0.23341111,0.41819101,0.64064459,0.5899227,0.19633342,1.1594268,0.053868012,0.70755321677,0.55619086,0.50118474,0.83451257,0.47341767,-0.015717851,-0.01334658,0.31905469,0.69702751,0.68343495,0.21301935539,0.058368474,0.23852972,-0.07336142,0.33888569,0.33844988,0.80751286,0.55042042,0.18680702,0.6200207,0.046750086,0.13615979626,0.54341774,0.38350042,0.07193565564,0.63150549,0.50448174,0.42002137,0.30563869,0.35820171,0.6472166205,0.21394151,0.25566776,0.90646987,0.4911177486,0.00961735,0.15808186,-0.20630635,0.70832066045,0.3588342,0.27051090428,-0.090397887
-0.6238601,-0.43877144,-0.3887594,-0.16958788377,-0.40010073308,-0.16777519,0.064050536,-0.57318254,-0.47984386,-0.37306819,-0.21610461,-0.13062363,-1.3240896,-0.46777039115,-0.90805718,-0.37645481276,-0.56621562,-0.2110563,-0.17396533,-0.31154561,-0.2793051,0.00963580611,-0.55355441899,-0.89675843,-0.54031332,-0.94939675,-0.61713232,-0.31165013,-0.5477308311,-0.32545272,-0.54994955836,-0.71806904,-0.35568239,-0.78156322445,-0.48817209,-0.60103399,-1.0108182,-1.078947,-0.8110499506,-1.1430965,-1.4530674,-0.52184936,-0.7453592107,-0.032689044,-0.48805954228,-0.11665642,-0.4819126,-0.45329057907,-0.56221043854,0.045083511
0.27327175,-0.18967425,-0.069436782,0.016151468,-0.06393904836,-0.095868165,0.35721443,-0.22700631,0.022152578,0.12821188449,-0.086566713,-0.30340235,0.18364816,-0.44976610814,-0.999712,0.21309485,-0.16677661,0.32471485,-0.025390507,-0.075115161,0.089118065,-0.005543113,0.062286752,-0.06298170333,0.50895762,-0.11187195,-0.49522605,0.6343965,-0.18225744,-0.15195528,0.33063645,-0.10272661,-0.29381715,0.12280856,-0.11550318,0.13507388,-0.00518033895999999,-0.17651067,0.007927666,-0.087149312,-0.36838897,0.41482558,-0.22058939157,-0.050861341,0.062249564,-0.04387577807,0.32401173,0.1525186,0.10508704,-0.25391655168
